drone_id,stage,generation,best_score,mean_score
FY2,proximity,94,-0.11706002083666601,-6.884527252194353
FY2,proximity,95,-0.11706002083666601,-6.613079663551905
FY2,proximity,96,-0.11706002083666601,-6.5861028397927655
FY2,proximity,97,-0.11706002083666601,-6.4675528769514345
FY2,proximity,98,-0.11706002083666601,-5.991131680452306
FY2,proximity,99,-0.11706002083666601,-5.991131680452306
FY2,proximity,100,-0.0710100702480772,-5.870027060872886
FY2,proximity,101,-0.0710100702480772,-5.870027060872886
FY2,proximity,102,-0.0710100702480772,-5.870027060872886
FY2,proximity,103,-0.0710100702480772,-5.794429986176095
FY2,proximity,104,-0.0710100702480772,-5.627116091146722
FY2,proximity,105,-0.0710100702480772,-5.47452342670563
FY2,proximity,106,-0.0710100702480772,-5.367081543901302
FY2,proximity,107,-0.0710100702480772,-5.190526569203587
FY2,proximity,108,-0.0710100702480772,-5.153481686464018
FY2,proximity,109,-0.0710100702480772,-5.143198842038392
FY2,proximity,110,-0.0710100702480772,-5.101623366836244
FY2,proximity,111,-0.0710100702480772,-5.101623366836244
FY2,proximity,112,-0.0710100702480772,-5.06089952456209
FY2,proximity,113,-0.0710100702480772,-5.06089952456209
FY2,proximity,114,-0.0710100702480772,-5.042441585859642
FY2,proximity,115,-0.0710100702480772,-4.995517497921516
FY2,proximity,116,-0.0710100702480772,-4.761334210260215
FY2,proximity,117,-0.0710100702480772,-4.696590796833137
FY2,proximity,118,-0.0710100702480772,-4.696590796833137
FY2,proximity,119,-0.0710100702480772,-4.6291160250242305
FY2,proximity,120,-0.0710100702480772,-4.498459290570486
FY2,proximity,121,-0.0710100702480772,-4.454633857916473
FY2,proximity,122,-0.0710100702480772,-4.191854313400421
FY2,proximity,123,-0.0710100702480772,-4.0830119852452755
FY2,proximity,124,-0.0710100702480772,-4.0830119852452755
FY2,proximity,125,-0.0710100702480772,-4.07302495909962
FY2,proximity,126,-0.0710100702480772,-4.012368697962336
FY2,proximity,127,-0.0710100702480772,-3.935206741647671
FY2,proximity,128,-0.0641087797423821,-3.9017950890041124
FY2,proximity,129,-0.0641087797423821,-3.9017950890041124
FY2,proximity,130,-0.0641087797423821,-3.857407053201303
